year,state_city,rev_total
1977,AK: Anchorage,5342.24
1978,AK: Anchorage,5948.99
1979,AK: Anchorage,6158.68
1980,AK: Anchorage,5654.93
1981,AK: Anchorage,6192.83
1982,AK: Anchorage,6560.51
1983,AK: Anchorage,7382.29
1984,AK: Anchorage,7245.14
1985,AK: Anchorage,8169.09
1986,AK: Anchorage,7279.6
1987,AK: Anchorage,6887.98
1988,AK: Anchorage,6930.81
1989,AK: Anchorage,6598.33
1990,AK: Anchorage,6347.37
1991,AK: Anchorage,6238.52
1992,AK: Anchorage,6054.7
1993,AK: Anchorage,6292.87
1994,AK: Anchorage,5610.68
1995,AK: Anchorage,5550.69
1996,AK: Anchorage,5377.27
1997,AK: Anchorage,5396.31
1998,AK: Anchorage,5824.81
1999,AK: Anchorage,5769.01
2000,AK: Anchorage,5523.35
2001,AK: Anchorage,4831.29
2002,AK: Anchorage,4914.64
2003,AK: Anchorage,4463.29
2004,AK: Anchorage,5007.39
2005,AK: Anchorage,4944.86
2006,AK: Anchorage,5198.61
2007,AK: Anchorage,5708.19
2008,AK: Anchorage,5371.8
2009,AK: Anchorage,5060.77
2010,AK: Anchorage,6036.69
2011,AK: Anchorage,5815.54
2012,AK: Anchorage,5378.15
2013,AK: Anchorage,5694.68
2014,AK: Anchorage,5735.87
2015,AK: Anchorage,6054.78
2016,AK: Anchorage,5778.73
2017,AK: Anchorage,5694.71
1977,AK: Fairbanks,10694.1
1978,AK: Fairbanks,9879.05
1979,AK: Fairbanks,9956.39
1980,AK: Fairbanks,9228.33
1981,AK: Fairbanks,9846.12
1982,AK: Fairbanks,11257.72
1983,AK: Fairbanks,11150.0
1984,AK: Fairbanks,10316.02
1985,AK: Fairbanks,10672.72
1986,AK: Fairbanks,10364.56
1987,AK: Fairbanks,7615.61
1988,AK: Fairbanks,8846.3
1989,AK: Fairbanks,8179.48
1990,AK: Fairbanks,8272.46
1991,AK: Fairbanks,8055.49
1992,AK: Fairbanks,6950.94
1993,AK: Fairbanks,7710.23
1994,AK: Fairbanks,7416.16
1995,AK: Fairbanks,8230.73
1996,AK: Fairbanks,8267.62
1997,AK: Fairbanks,7473.8
1998,AK: Fairbanks,9604.78
1999,AK: Fairbanks,4416.65
2000,AK: Fairbanks,4831.96
2001,AK: Fairbanks,4536.97
2002,AK: Fairbanks,4377.14
2003,AK: Fairbanks,4390.33
2004,AK: Fairbanks,4497.06
2005,AK: Fairbanks,4336.73
2006,AK: Fairbanks,4545.29
2007,AK: Fairbanks,5143.96
2008,AK: Fairbanks,5009.22
2009,AK: Fairbanks,5007.27
2010,AK: Fairbanks,5175.37
2011,AK: Fairbanks,5456.08
2012,AK: Fairbanks,5102.97
2013,AK: Fairbanks,5385.34
2014,AK: Fairbanks,5713.46
2015,AK: Fairbanks,5821.08
2016,AK: Fairbanks,5274.03
2017,AK: Fairbanks,5423.24
1977,AL: Birmingham,3585.56
1978,AL: Birmingham,3812.13
1979,AL: Birmingham,3683.44
1980,AL: Birmingham,3413.75
1981,AL: Birmingham,3354.2
1982,AL: Birmingham,3516.01
1983,AL: Birmingham,3668.42
1984,AL: Birmingham,3659.99
1985,AL: Birmingham,3896.64
1986,AL: Birmingham,4150.77
1987,AL: Birmingham,4045.74
1988,AL: Birmingham,4016.52
1989,AL: Birmingham,4125.39
1990,AL: Birmingham,4052.27
1991,AL: Birmingham,4374.01
1992,AL: Birmingham,4571.33
1993,AL: Birmingham,4636.35
1994,AL: Birmingham,5268.56
1995,AL: Birmingham,4875.46
1996,AL: Birmingham,5154.33
1997,AL: Birmingham,5585.54
1998,AL: Birmingham,5564.27
1999,AL: Birmingham,6134.56
2000,AL: Birmingham,6436.31
2001,AL: Birmingham,5770.04
2002,AL: Birmingham,5742.95
2003,AL: Birmingham,5949.65
2004,AL: Birmingham,6876.52
2005,AL: Birmingham,6578.95
2006,AL: Birmingham,6749.7
2007,AL: Birmingham,7933.48
2008,AL: Birmingham,7361.39
2009,AL: Birmingham,5679.5
2010,AL: Birmingham,7507.57
2011,AL: Birmingham,7100.4
2012,AL: Birmingham,6492.59
2013,AL: Birmingham,6695.74
2014,AL: Birmingham,6885.65
2015,AL: Birmingham,6354.02
2016,AL: Birmingham,6126.37
2017,AL: Birmingham,6670.57
1977,AL: Gadsden,2110.24
1978,AL: Gadsden,2421.5
1979,AL: Gadsden,2495.91
1980,AL: Gadsden,2319.35
1981,AL: Gadsden,2498.66
1982,AL: Gadsden,2384.69
1983,AL: Gadsden,2309.93
1984,AL: Gadsden,2330.34
1985,AL: Gadsden,2368.06
1986,AL: Gadsden,2650.2
1987,AL: Gadsden,2757.02
1988,AL: Gadsden,2621.24
1989,AL: Gadsden,2898.31
1990,AL: Gadsden,2940.73
1991,AL: Gadsden,2977.34
1992,AL: Gadsden,3021.49
1993,AL: Gadsden,3147.13
1994,AL: Gadsden,3384.66
1995,AL: Gadsden,3494.08
1996,AL: Gadsden,3827.42
1997,AL: Gadsden,3951.75
1998,AL: Gadsden,3848.75
1999,AL: Gadsden,3879.97
2000,AL: Gadsden,3736.86
2001,AL: Gadsden,3641.07
2002,AL: Gadsden,3808.26
2003,AL: Gadsden,3893.64
2004,AL: Gadsden,3825.04
2005,AL: Gadsden,4270.66
2006,AL: Gadsden,4264.57
2007,AL: Gadsden,4219.27
2008,AL: Gadsden,4278.5
2009,AL: Gadsden,4207.84
2010,AL: Gadsden,4127.39
2011,AL: Gadsden,4206.43
2012,AL: Gadsden,4126.93
2013,AL: Gadsden,4065.97
2014,AL: Gadsden,4149.56
2015,AL: Gadsden,4188.96
2016,AL: Gadsden,4346.04
2017,AL: Gadsden,4286.06
1977,AL: Mobile,2422.69
1978,AL: Mobile,2409.94
1979,AL: Mobile,2518.27
